"Gratian0_1" "Gratian0_2" "Gratian0_3" "Gratian1_1" "Gratian1_2" "Gratian1_3" "Gratian1_4" "Gratian1_5" "Gratian1_6" "Gratian1_7" "Gratian1_8" "Gratian1_9" "Gratian1_10" "Gratian1_11" "Gratian1_12" "Gratian1_13" "Gratian1_14" "Gratian1_15" "Gratian1_16" "Gratian1_17" "Gratian1_18" "Gratian1_19" "Gratian1_20" "Gratian1_21" "Gratian1_22" "Gratian1_23" "Gratian1_24" "Gratian1_25" "Gratian1_26" "Gratian1_27" "Gratian1_28" "Gratian1_29" "Gratian1_30" "Gratian1_31" "Gratian1_32" "Gratian1_33" "Gratian1_34" "Gratian1_35" "Gratian1_36" "Gratian1_37" "Gratian1_38" "Gratian1_39" "Gratian1_40" "Gratian1_41" "Gratian1_42" "Gratian1_43" "Gratian1_44" "Gratian1_45" "Gratian1_46" "Gratian2_1" "Gratian2_2" "Gratian2_3" "Gratian2_4" "Gratian2_5" "Gratian2_6" "Gratian2_7" "Gratian2_8" "Gratian2_9" "Gratian2_10" "Gratian2_11"
"ergo" 0 0 0 0.25 0.5 0.166666666666667 0.166666666666667 0.25 0.333333333333333 0.25 0.583333333333333 0 0.333333333333333 0.583333333333333 0.583333333333333 0.666666666666667 0.333333333333333 0.0833333333333333 0.166666666666667 0.666666666666667 1.16666666666667 0.333333333333333 0.166666666666667 0.25 1 0.5 0.916666666666667 0.333333333333333 0.333333333333333 0.5 1 0.25 0.666666666666667 0.583333333333333 0.5 0.166666666666667 0.333333333333333 0.333333333333333 0.666666666666667 0.583333333333333 0.833333333333333 0.333333333333333 0.666666666666667 0.416666666666667 1.16666666666667 0.25 0.75 0.0833333333333333 0.5 0 0.0833333333333333 0.166666666666667 0.0833333333333333 0.25 0.0833333333333333 0.25 0 0.25 0.416666666666667 0.0833333333333333
"nec" 0 0.0833333333333333 0.166666666666667 0.5 0.166666666666667 0.583333333333333 0.0833333333333333 0.416666666666667 0.416666666666667 0.0833333333333333 0.166666666666667 0.0833333333333333 1 0.25 0.333333333333333 0.25 0.25 0.583333333333333 0.0833333333333333 0.166666666666667 0 0.0833333333333333 0.25 0.166666666666667 0.916666666666667 0.5 0.166666666666667 0.416666666666667 1.08333333333333 0.25 0.666666666666667 0.416666666666667 0.75 0.25 0.416666666666667 0.25 0.416666666666667 0.416666666666667 1.16666666666667 0.416666666666667 0.25 0.5 0.25 0.416666666666667 0.666666666666667 0.416666666666667 1 0.333333333333333 0.416666666666667 0.333333333333333 0.25 0.666666666666667 0.416666666666667 0.333333333333333 0.25 0.25 0.166666666666667 0.25 0.416666666666667 0.416666666666667
"per" 0.666666666666667 0.333333333333333 0.0833333333333333 0.0833333333333333 0.25 0.0833333333333333 0.416666666666667 0.166666666666667 0.416666666666667 0.25 0.166666666666667 0.416666666666667 0.333333333333333 0.333333333333333 0.75 0.5 0.416666666666667 0.166666666666667 0.416666666666667 1.5 0.5 0.833333333333333 0.0833333333333333 0.0833333333333333 0.0833333333333333 0.25 0.0833333333333333 0.0833333333333333 0.0833333333333333 0.25 0.0833333333333333 0.166666666666667 1.83333333333333 0 0.0833333333333333 0.333333333333333 1.41666666666667 0.416666666666667 0.25 0.25 0.0833333333333333 1 0 0.416666666666667 0.0833333333333333 0.166666666666667 0.0833333333333333 0.166666666666667 0.333333333333333 0.5 0.166666666666667 0 0.5 0.583333333333333 0.666666666666667 0.333333333333333 0 0.5 0.416666666666667 0.25
"sicut" 0 0 0 0.25 0.25 0.0833333333333333 0.166666666666667 0.0833333333333333 0.25 0.25 0.5 0.416666666666667 0.583333333333333 0.166666666666667 0.666666666666667 0.166666666666667 0.916666666666667 0.333333333333333 0.0833333333333333 0.0833333333333333 0.333333333333333 0 0.166666666666667 0.333333333333333 0.166666666666667 0.333333333333333 0.25 0.166666666666667 0.583333333333333 0.333333333333333 0.5 0.166666666666667 0.333333333333333 0.25 0.583333333333333 0.0833333333333333 0.75 0.166666666666667 0.583333333333333 0.333333333333333 0.333333333333333 0.166666666666667 0.333333333333333 0.25 0.166666666666667 0.166666666666667 0.333333333333333 0.166666666666667 0.416666666666667 0.166666666666667 0.333333333333333 0.5 0.166666666666667 0.166666666666667 0.5 0.583333333333333 0.583333333333333 0 0.5 0.166666666666667
"ita" 0 0 0.0833333333333333 0.25 0.666666666666667 0.166666666666667 0.166666666666667 0 0.166666666666667 0.25 0.333333333333333 0.333333333333333 0.166666666666667 0.333333333333333 0.166666666666667 0.25 0.333333333333333 0.166666666666667 0.333333333333333 0.333333333333333 0.75 0.166666666666667 0.0833333333333333 0.333333333333333 0.166666666666667 0.416666666666667 0.166666666666667 0.166666666666667 0.333333333333333 0.5 0.333333333333333 0.416666666666667 0.0833333333333333 0.166666666666667 0.25 0.166666666666667 0.25 0.333333333333333 0.416666666666667 0.25 0.583333333333333 0.666666666666667 0.25 0.333333333333333 0.333333333333333 0.25 0.416666666666667 0.666666666666667 0.75 0.666666666666667 0.25 0.416666666666667 0.25 0.0833333333333333 0 0 0.166666666666667 0.0833333333333333 0.166666666666667 0.416666666666667
"nisi" 0.0833333333333333 0.0833333333333333 0 0.0833333333333333 0.166666666666667 0.333333333333333 0.0833333333333333 0.0833333333333333 0 0.25 0.333333333333333 0.333333333333333 0.666666666666667 0.25 0.416666666666667 0.166666666666667 0.25 0.166666666666667 0.25 0.166666666666667 0.166666666666667 0.416666666666667 0.25 0.416666666666667 0.333333333333333 0.333333333333333 0 0.333333333333333 0.416666666666667 0.333333333333333 0.333333333333333 0.333333333333333 0.25 0.166666666666667 0.166666666666667 0 0.166666666666667 0.166666666666667 0.833333333333333 0.0833333333333333 0.5 0.666666666666667 0.25 0 0.166666666666667 1.16666666666667 0.0833333333333333 0.583333333333333 0.25 0.25 0.333333333333333 0.25 0.0833333333333333 0.666666666666667 0.0833333333333333 0.416666666666667 0.25 0.333333333333333 0.166666666666667 0.333333333333333
"tamen" 0.166666666666667 0.0833333333333333 0.0833333333333333 0.25 0.0833333333333333 0.25 0.25 0 0.166666666666667 0.0833333333333333 0 0.25 0.5 0.25 0.833333333333333 0 0.5 0.333333333333333 0.333333333333333 0.166666666666667 0.166666666666667 0.416666666666667 0.166666666666667 0.0833333333333333 0.666666666666667 0.166666666666667 0.0833333333333333 0.25 0.5 0 0.5 0.333333333333333 0.583333333333333 0.916666666666667 0.416666666666667 0.166666666666667 0.0833333333333333 0.333333333333333 0.166666666666667 0.0833333333333333 0.416666666666667 0.166666666666667 0 0.166666666666667 0.5 0.5 0.25 0.416666666666667 0.166666666666667 0.5 0.416666666666667 0.166666666666667 0.166666666666667 0.0833333333333333 0.333333333333333 0.0833333333333333 0.0833333333333333 0.333333333333333 0.5 0.333333333333333
"pro" 0.166666666666667 0.0833333333333333 0.0833333333333333 0 0.5 0 0 0.25 0.333333333333333 0.0833333333333333 0.0833333333333333 0.166666666666667 0.333333333333333 0.75 0.166666666666667 0.166666666666667 1.41666666666667 0.25 0.25 0.166666666666667 0 0.0833333333333333 0.166666666666667 0.25 0.25 0.5 0.583333333333333 0.666666666666667 0.5 0.333333333333333 0.25 0.333333333333333 0.25 0.0833333333333333 0.416666666666667 0.333333333333333 0.166666666666667 0.166666666666667 0.166666666666667 1.25 0.25 0 0 0 0.166666666666667 0.25 0.0833333333333333 0.0833333333333333 0 0.0833333333333333 0 0.0833333333333333 0.166666666666667 0.666666666666667 0.25 0.0833333333333333 0.583333333333333 0.0833333333333333 0.166666666666667 0.333333333333333
"quam" 0.25 0.0833333333333333 0.166666666666667 0.416666666666667 0.0833333333333333 0.333333333333333 0.166666666666667 0.166666666666667 0.166666666666667 0.0833333333333333 0.166666666666667 0.0833333333333333 0.0833333333333333 0.166666666666667 0.333333333333333 0.0833333333333333 0.166666666666667 0 0.333333333333333 0.166666666666667 0.0833333333333333 0.166666666666667 0.166666666666667 0.0833333333333333 0.416666666666667 0.0833333333333333 0.25 0.25 0 0.25 0.416666666666667 0.0833333333333333 0.583333333333333 0.0833333333333333 0.833333333333333 0.25 0.333333333333333 0.0833333333333333 0.166666666666667 0.0833333333333333 0.0833333333333333 0.0833333333333333 0.333333333333333 1 0.5 0.666666666666667 0.0833333333333333 0.25 0.25 0.5 0.25 0.166666666666667 0.25 0.25 0.166666666666667 0.0833333333333333 0.25 0.0833333333333333 0.416666666666667 0.25
"sic" 0 0 0.0833333333333333 0 0 0.25 0.166666666666667 0.25 0 0.333333333333333 0.333333333333333 0.0833333333333333 0.25 0.0833333333333333 0.5 0 0.25 0 0.25 0.166666666666667 0.166666666666667 0.5 0.333333333333333 0.666666666666667 0.0833333333333333 0 0.166666666666667 0.166666666666667 0.5 0.25 0.416666666666667 0.5 0.583333333333333 0.166666666666667 1.16666666666667 0.583333333333333 0.25 0.0833333333333333 0.0833333333333333 0 0.25 0.416666666666667 0.166666666666667 0.333333333333333 0.166666666666667 0.166666666666667 0.25 0.166666666666667 0.333333333333333 0.166666666666667 0 0.166666666666667 0 0 0.0833333333333333 0.5 0.0833333333333333 0.0833333333333333 0.0833333333333333 0.166666666666667
"quo" 0.166666666666667 0.166666666666667 0.25 0.5 0.25 0.25 0.25 0.0833333333333333 0 0.25 0.416666666666667 0 0 0.166666666666667 0.0833333333333333 0 0.166666666666667 0.416666666666667 0.583333333333333 0 0.25 0.333333333333333 0.166666666666667 0.166666666666667 0 0.0833333333333333 0.25 0.166666666666667 0.25 0.0833333333333333 0.333333333333333 0.25 0.416666666666667 0.666666666666667 0.25 0.333333333333333 0.25 0.416666666666667 0.25 0.333333333333333 0.25 0.25 0.166666666666667 0.0833333333333333 0.0833333333333333 0 0.0833333333333333 0.333333333333333 0.0833333333333333 0.416666666666667 0 0 0 0.416666666666667 0.416666666666667 0 0.0833333333333333 0.0833333333333333 0.166666666666667 0.166666666666667
